﻿GUID,Key,Text,Translation
4d3a8801-8144-4554-a7f1-dfbc90b55cac,credits_element.prefab/elements/common#title/25_tier/items.0,"""Sergeant"" Kickstarter Backers","Sostenitori Kickstarter ""Sergente"""
b8bb70fe-8dbe-4734-8eee-790fe3569878,credits_element.prefab/elements/common#label/button_back/buttons.1,RETURN TO MAIN MENU,TORNA AL MENU PRINCIPALE
c91045d5-53c6-4c0e-a7b8-391b2e57ab7a,display_settings_tab_menu_element.prefab/elements/common#label/header_display/items.0,Display,Display
3331082e-cdc4-4df6-97a0-ad53d81ec6ad,display_settings_tab_menu_element.prefab/elements/common#label/screen_resolution/items.0,Screen Resolution,Risoluzione dello schermo
b32d7862-1d9f-4270-a234-b720b0e35c19,display_settings_tab_menu_element.prefab/elements/common#label/refresh_rate/items.0,Refresh Rate,Frequenza di aggiornamento
3707fd5b-903d-4fb6-82b3-5cc1df138da8,display_settings_tab_menu_element.prefab/elements/common#label/fullscreen/items.0,Fullscreen Mode,Modalità a schermo intero
5398a608-efa7-46ab-b25e-b05b4b2ffe0e,display_settings_tab_menu_element.prefab/elements/common#label/target_display/items.0,Display Screen,Schermo di visualizzazione
87fd286d-d679-4629-adb4-1b8a8b2ba0b1,display_settings_tab_menu_element.prefab/elements/common#label/header_gameplay/items.0,Gameplay,Gameplay
162074ad-4512-40db-8b9b-8d8d0a547867,display_settings_tab_menu_element.prefab/elements/common#label/camera_shake/items.0,Camera Shake,Vibrazione della fotocamera
c145aa7f-611d-4c6c-b5ad-ae68f5176abd,display_settings_tab_menu_element.prefab/elements/common#label/header_advanced/items.0,Advanced ,Avanzato 
b67ff493-bf21-4127-83b8-c9bbb7106fb6,display_settings_tab_menu_element.prefab/elements/common#label/graphics_quality/items.0,Graphics Quality,Qualità grafica
0c0188ae-057e-43d4-9e3a-334ccf484f43,display_settings_tab_menu_element.prefab/elements/common#label/vsync/items.0,VSync,VSync
3072f834-b516-405b-adeb-cd64b0e2fc8f,display_settings_tab_menu_element.prefab/elements/common#label/max_framerate/items.0,Maximum Framerate,Framerate massimo
d24eabc2-078e-47e8-9148-abf5afc0f4a5,display_settings_tab_menu_element.prefab/elements/common#label/aa_mode/items.0,Anti Aliasing,Antialiasing
cd802588-34e5-48e5-8265-365069cba336,display_settings_tab_menu_element.prefab/elements/common#label/msaa/items.0,MSAA Samples,Campioni MSAA
08dc8ad9-c1c9-4f3a-9c81-7a4d4a02ab35,display_settings_tab_menu_element.prefab/elements/common#label/fxaa/items.0,FXAA Mode,Modalità FXAA
e59d57cb-4984-45fb-8e04-c289a620bf88,display_settings_tab_menu_element.prefab/elements/common#label/ssaa/items.0,SSAA Scale,Scala SSAA
8acf2a5f-6157-47e1-82a1-a85f9c96318b,general_settings_tab_menu_element.prefab/elements/common#label/header_gameplay/items.0,Gameplay,Gameplay
60cd2fff-32d4-49ea-b854-66beba52f254,general_settings_tab_menu_element.prefab/elements/common#label/camera_rotation_increment/items.0,Camera Rotation Increment,Incremento rotazione telecamera
c1aaf73b-bfbc-43a7-9ca2-b8f397ad35df,general_settings_tab_menu_element.prefab/elements/common#label/focus_camera_on_newly_sighted_enemies/items.0,Focus on New Enemies,Concentrati sui nuovi nemici
bdb7ff09-0a92-4c34-b362-e7268ff88bf5,general_settings_tab_menu_element.prefab/elements/common#label/allow_overwatch_friendly_fire/items.0,Allow Overwatch Friendly Fire,Consenti fuoco amico di Overwatch
71913128-7aea-4ef7-afe6-14c47076cceb,general_settings_tab_menu_element.prefab/elements/common#label/header_autosave/items.0,AutoSaves,SalvataggioAutomatico
e10b4559-57fb-4704-b333-d0963c0f718b,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_days_between/items.0,Days Between Autosaves,Giorni tra salvataggi automatici
8d415007-50c1-4f06-b7f1-a6aee82215e9,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_gc_start_of_turn/items.0,Start of Tactical Combat Turn,Inizio del turno di combattimento tattico
0dd6b661-878f-458f-87d6-0098e8f62a7c,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_gc_end_of_turn/items.0,End of Tactical Combat Turn,Fine del turno di combattimento tattico
84c7b75d-65b5-4437-8295-2070f0ec42a2,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_before_gc/items.0,Before Tactical Combat,Prima del combattimento tattico
e9e4b3fe-f4e2-47b1-905c-f8185d9d3aa6,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_after_gc/items.0,After Tactical Combat,Dopo il combattimento tattico
e6180c93-71a9-4581-ba38-ea29c4639cb0,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_before_ac/items.0,Before Air Combat,Prima del combattimento aereo
49f76eb7-a83b-40aa-9290-d41236cf93d5,general_settings_tab_menu_element.prefab/elements/common#label/auto_save_after_ac/items.0,After Air Combat,Dopo il combattimento aereo
a1d5bf2f-541f-4237-8008-2d36ef6dec4f,general_settings_tab_menu_element.prefab/elements/common#label/header_tooltips/items.0,Tooltips,Suggerimenti
74110ded-fcca-4d02-bac1-5c22c2e2b023,general_settings_tab_menu_element.prefab/elements/common#label/tooltip_mode/items.0,Tooltip Locking Mode,Modalità di blocco tooltip
3d9e25b9-83fe-436f-b43a-1acdbd8f5f15,general_settings_tab_menu_element.prefab/elements/common#label/tooltip_spawndelay/items.0,Tooltip Spawn Delay,Ritardo generazione tooltip
0df6eb0d-93a4-4294-be01-c360b4db3e2d,general_settings_tab_menu_element.prefab/elements/common#label/tooltip_lock_time/items.0,Tooltip Lock Time,Tempo blocco tooltip
f1fbe5ca-471a-4210-8290-d75c96fb6bbb,general_settings_tab_menu_element.prefab/elements/common#label/tooltip_unlock_time/items.0,Tooltip Unlock Time,Ora di sblocco tooltip
cb6d5a7c-0370-4a9d-b221-7387eda041f2,general_settings_tab_menu_element.prefab/elements/common#label/header_customsoldiers/items.0,Custom Soldiers,Soldati personalizzati
2d5e397e-7424-415f-9a59-1a439c8ef3b5,general_settings_tab_menu_element.prefab/elements/common#label/search_soldiers/items.0,Selected Soldiers,Soldati selezionati
02b9761a-cb7c-41fc-b4f4-714dd84da31d,input_settings_tab_menu_element.prefab/elements/common#label/global_header/controllers.0,Global,Globale
3a55a159-494f-4a63-abc5-0f27144832db,input_settings_tab_menu_element.prefab/elements/common#label/strategy_header/controllers.0,Strategy,Strategia
449fddb4-9601-4bf8-911e-471eef50df0f,input_settings_tab_menu_element.prefab/elements/common#label/ground_combat_header/controllers.0,Tactical Combat,Combattimento tattico
4a7cae17-ca1f-44bb-941e-105d1161d7aa,input_settings_tab_menu_element.prefab/elements/common#label/air_combat_header/controllers.0,Air Combat,Combattimento aereo
87dba705-2fab-4e13-9324-429324a978ad,load_menu_element.prefab/elements/common#title/background/title_bar.0,LOAD GAME,CARICA PARTITA
a5d8dd76-1024-44fb-bf27-43e2612ac572,load_menu_element.prefab/elements/common#label/label_row/campaign_row.1,Campaign,Campagna
f761bd84-5527-409d-a393-20665affe3d3,load_menu_element.prefab/elements/common#label/label_row/screen_row.1,Screen,Schermo
c1ab53ab-ccb2-4716-90f1-53e1d3682d56,load_menu_element.prefab/elements/common#label/label_row/created_row.1,Created,Creato
9d1c6cfe-8891-4d44-9b7d-404b539ec37f,load_menu_element.prefab/elements/common#label/label_row/play_time_row.1,Play Time,Tempo di gioco
ee7d4247-eeaf-4fe8-8be9-b65392c763e5,load_menu_element.prefab/elements/common#label/label_row/difficulty_row.1,Difficulty,Difficoltà
9aa5b9c4-7d1d-4e4f-a80b-977db697fdf0,load_menu_element.prefab/elements/common#label/label_row/version_row.1,Game Version,Versione del gioco
b37d55cd-735a-48ec-9e9b-d77b69f55adc,load_menu_element.prefab/elements/common#label/toggle_container/saved_seed_row.0,RESET SAVED SEED,RIPRISTINA SEME SALVATO
9e334604-6b9f-4c82-8342-8491155c94da,load_menu_element.prefab/elements/common#name/name/title_row.0,NAME,NOME
eb1e50e4-105b-4991-92fc-083a3c9a0272,load_menu_element.prefab/elements/common#date/date/title_row.0,DATE,DATA
e207bb1d-ab60-4490-b926-5dbadc0d4f22,load_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,LOAD SAVE,CARICA SALVATAGGIO
90be4477-34fa-4221-8f1a-7cf7d1afe555,load_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,DELETE SAVE,ELIMINA SALVATAGGIO
81619299-7fc9-4d90-b55c-336a99f7c0e3,load_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,CLOSE,CHIUDI
9d5290fc-33b0-4078-b483-0476621040bc,mission_briefing_element.prefab/elements/common#title/background/title_bar.0,MISSION BRIEFING,BRIEFING SULLA MISSIONE
1803bdc5-9170-4d43-a90c-50fa7671724e,mission_briefing_element.prefab/elements/common#title/titlebar/victory_conditions.0,VICTORY CONDITIONS,CONDIZIONI DI VITTORIA
23b1fc8a-9be3-4552-9b80-5558f4e602d3,mission_briefing_element.prefab/elements/common#title/titlebar/loss_conditions.0,LOSS CONDITIONS,CONDIZIONI DI PERDITA
a83e06a2-9c94-443f-a197-fce1ee711b9f,mission_briefing_element.prefab/elements/common#title/titlebar/further_information.0,Further Information,Ulteriori informazioni
9c68ab5e-1703-4f0e-a190-e89a82869e8d,mission_briefing_element.prefab/elements/common#label/background/button_close.1,Close,Chiudi
cd1c06d0-0af2-48c7-ba17-2f44d3880e24,new_game_parameters_element.prefab/elements/common#label/header_gameplay/Viewport.0,Campaign Options,Opzioni campagna
e247165f-537c-4264-8f54-ee5b25dd7aa9,new_game_parameters_element.prefab/elements/common#label/achievement_difficulty_container/difficulty_settings.0,Achievement Difficulty,Difficoltà di raggiungimento
93006b0b-a31b-4402-ad4d-ef8f84e22e4b,new_game_parameters_element.prefab/elements/common#title/background/title_bar.0,neW CAMPAIGN,Nuova Campagna
3c4ebb88-a1ce-44cd-8a96-9f11ec597125,new_game_parameters_element.prefab/elements/common#text_label/text_area/button_fill.0,Custom,Personalizzato
97862fe0-5c66-4860-aafa-7252842a8fc5,new_game_parameters_element.prefab/elements/common#text_label/text_area/button_fill.0,TUTORIAL,TUTORIAL
f41ae781-c214-4af6-85f5-dd2c8cc9a8dc,new_game_parameters_element.prefab/elements/common#text_label/text_area/button_fill.0,IRONMAN MODE,MODALITÀ IRONMAN
4a0482e7-5977-48cf-bf32-3a19abefe7c9,new_game_parameters_element.prefab/elements/common#label/background/button_begin.1,Begin Campaign,Inizia la campagna
a699ca4e-e77f-4fc9-9507-068d54f8ad90,new_game_parameters_element.prefab/elements/common#label/background/button_cancel.1,CANCEL,ANNULLA
9671d732-16bc-4e70-a2f5-7e007c4f84f3,pause_menu_element.prefab/elements/common#title/background/title_bar.0,Game Menu,Menu di gioco
550775fd-c443-4560-937c-0e7016d4a586,pause_menu_element.prefab/elements/common#label/background/button_resume.1,Resume Game,Riprendi il gioco
cc9f975a-cebf-4819-b9af-77c7ebbe3a17,pause_menu_element.prefab/elements/common#label/background/button_abort.1,Abort Mission,Interrompi missione
aeb915d1-6798-40ab-a815-adffa3c145ab,pause_menu_element.prefab/elements/common#label/background/button_briefing.1,Mission Briefing,Briefing sulla missione
e80e6746-5a56-4431-ae72-1ed4c38cd2e7,pause_menu_element.prefab/elements/common#label/background/button_xenopedia.1,Xenopedia,Xenopedia
1face3ff-bb08-4554-ac2e-996df7e004aa,pause_menu_element.prefab/elements/common#label/background/button_save.1,Save Game,Salva partita
42408727-86e2-49cf-b0ee-52ced5a29b6b,pause_menu_element.prefab/elements/common#label/background/button_load.1,Load Game,Carica partita
878f97ad-54c8-47e7-ae17-ab2ce7b08b3b,pause_menu_element.prefab/elements/common#label/background/button_settings.1,Game Settings,Impostazioni di gioco
5de58fab-d1cf-4091-8ef5-1e057ff562bf,pause_menu_element.prefab/elements/common#label/background/button_quit.1,Quit Game,Abbandona il gioco
83ec10c3-89f1-488e-93e2-da250a5864c3,pause_menu_element.prefab/elements/common#label/background/button_skip_tutorial.1,Skip Tutorial,Salta tutorial
fabb5c75-c39e-46e9-af29-335b5b4342db,save_menu_element.prefab/elements/common#title/background/title_bar.0,SAVE GAME,SALVA PARTITA
81eb7cc0-11a7-47d4-821d-1a73001b7100,save_menu_element.prefab/elements/common#Text/Text Area/TextMeshPro - InputField.1,Enter save name...​,Inserisci il nome del salvataggio...​
ab6ac808-4d7b-4968-aaf5-3ec7b342c1d2,save_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,Save Game,Salva partita
083dc7d9-fd54-4c72-ad31-7d81413cd9f0,save_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,Close,Chiudi
9781fd7f-6627-42e5-87e1-ca76de1dd743,settings_root_menu_element.prefab/elements/common#title/background/title_bar.0,GAME SETTINGS,IMPOSTAZIONI DI GIOCO
23154c54-805f-496f-b2c1-478e74e13819,settings_root_menu_element.prefab/elements/common#label/center/gameplay.0,Gameplay,Gameplay
88ac8e70-da54-44a4-9c0e-e9297233d5e5,settings_root_menu_element.prefab/elements/common#label/center/visual.0,Visual,Visivo
4aea5779-1394-497f-b1fa-add3ac346f15,settings_root_menu_element.prefab/elements/common#label/center/audio.0,Audio,Audio
d98b2602-960f-4f3d-bfe5-f8231dc5157b,settings_root_menu_element.prefab/elements/common#label/center/keybinds.0,Controls,Comandi
62839ab7-b389-4842-b5ad-cb5e4d4590e3,settings_root_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,Defaults,Predefinite
3d8229f5-4261-434c-805b-70067a5648c0,mod_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,Discard,Elimina
2fbd62e7-6370-4893-bea8-3fb5b7f83029,mod_menu_element.prefab/elements/common#text_label/text_area/button_fill.1,Save & Close,Salva e chiudi
5a21f943-1cce-4392-a51b-11435d28d2a9,explain.prefab/explains/common#label/background/button_proceed.1,Proceed,Procedi
2d706399-becf-45e6-8765-7c5a02f6c3f6,mechanic_notification.prefab/tutorial_notifications/common#X/checkbox/stop_tooltips.0,X,X
dd24967b-90e0-4554-b1f1-654ed54ef52c,mechanic_notification.prefab/tutorial_notifications/common#description/stop_tooltips/container.1,Do not show further explanatory tooltips,Non mostrare ulteriori descrizioni esplicative
18d7d267-f090-4465-8c27-5a0d04d5b008,objective_status_controller.prefab/components/groundcombat#objective/objective_status_controller.1,Eliminate all enemy combatants,Elimina tutti i combattenti nemici
d61fb1e7-dd24-4f11-817a-78f70716b3c5,abort_mission_element.prefab/elements/groundcombat#title_text/background/title_bar.0,ABORT MISSION,INTERROMPI MISSIONE
1b6c5264-7ded-4eee-8b0a-4f85b3dc7084,abort_mission_element.prefab/elements/groundcombat#label/background/button_confirmabort.1,Confirm Mission Abort,Conferma interruzione missione
c7e95882-e55a-49c8-9da1-b994653fa56a,abort_mission_element.prefab/elements/groundcombat#label/background/button_cancel.1,Cancel Mission Abort,Annulla interruzione missione
f2285d6e-477e-47e8-8cdf-7e6f6ad3a51b,ally_playing_screen_blocked_element.prefab/elements/groundcombat#alien_turn_text/alien_turn_panel/ally_playing_screen_blocked_element.0,Friendly Activity,Attività amichevole
552ec837-0760-42ad-941c-06701f192ab3,enemy_overwatch_element.prefab/elements/groundcombat#Text/top_panel/enemy_overwatch_element.0,ENEMY OVERWATCH,SORVEGLIANTE NEMICO
f032caa6-c245-4f62-8ea6-8005068d2347,enemy_playing_element.prefab/elements/groundcombat#TextMeshPro Text/top_panel/enemy_playing_element.0,Enemy Activity,Attività nemica
34fc438b-2a36-4667-bd25-a06024b9c46b,enemy_playing_screen_blocked_element.prefab/elements/groundcombat#alien_turn_text/alien_turn_panel/enemy_playing_screen_blocked_element.0,Enemy Activity,Attività nemica
e7121bff-046e-47e1-aca5-2e3913c14a54,friendly_activity_overlay_element.prefab/elements/groundcombat#TextMeshPro Text/top_panel/friendly_activity_overlay_element.0,Friendly Activity,Attività amichevole
3191bc59-ac54-429c-bbcd-26e3c25eb2e1,inventory_panel_element.prefab/elements/groundcombat#title_text/background/title_bar.0,Soldier Inventory,Inventario del soldato
ebd1d0b8-1ddc-41bb-8a8d-f817e1f15939,inventory_panel_element.prefab/elements/groundcombat#label/title/primary.0,Primary,Primario
bd4a3cbc-b3fb-4b80-a7da-708a2dd8db4a,inventory_panel_element.prefab/elements/groundcombat#label/title/secondary.0,Secondary,Secondario
722c577c-9fca-4e2f-ad9e-abd37cb398d3,inventory_panel_element.prefab/elements/groundcombat#label/title/belt.0,Tactical Vest,Gilet tattico
c594ea8a-ac9b-4d71-a6be-f0ebe0b69bad,inventory_panel_element.prefab/elements/groundcombat#label/label/soldier_prev.1,Previous,Precedente
f9ca6e3a-1550-4fa1-94bc-9eeee4a59520,inventory_panel_element.prefab/elements/groundcombat#label/label/soldier_next.1,Next,Avanti
eca9cc3d-8f39-49ef-9237-6dc89d1e50a3,inventory_panel_element.prefab/elements/groundcombat#label/label/close_button.1,Close,Chiudi
28dbb0b1-57bf-43a1-bb8b-502d53ee7250,inventory_panel_element.prefab/elements/groundcombat#stat/time_units/attributes.0,Time Units,Unità di tempo
95db2223-e4ad-42aa-9f70-cc0db352e6db,inventory_panel_element.prefab/elements/groundcombat#stat/health/attributes.0,health,salute
9e44de15-d93e-4e88-91c8-99eb00534709,inventory_panel_element.prefab/elements/groundcombat#stat/accuracy/attributes.0,Accuracy,Precisione
2a328245-7cce-4057-a5d2-9b8dd4a6fae8,inventory_panel_element.prefab/elements/groundcombat#stat/strength/attributes.0,Strength,Forza
775f8250-3b73-465a-8471-adbd6a8e640a,inventory_panel_element.prefab/elements/groundcombat#stat/reflexes/attributes.0,Reflexes,Riflessi
b14559ad-a193-4182-a269-7c1c965affa1,inventory_panel_element.prefab/elements/groundcombat#stat/bravery/attributes.0,Bravery,Coraggio
1fe8cdd0-6f5f-4758-a018-9d13becf0df5,inventory_panel_element.prefab/elements/groundcombat#stat/current_hp/current_stats.0,Current HP,HP attuali
5c85c83a-1843-4d9a-8e5b-b71618873436,inventory_panel_element.prefab/elements/groundcombat#stat/stun_hp/current_stats.0,Stun HP,HP stordimento
b8dd8722-39ae-4eec-a40f-be31bf8cfe7e,inventory_panel_element.prefab/elements/groundcombat#stat/armour_hp/current_stats.0,Armour HP,HP armatura
b9f14e28-86de-4b74-b4b1-f37436334a89,inventory_panel_element.prefab/elements/groundcombat#label/capacity/weight.0,Weight,Peso
6b0f950e-f32c-4e59-be0c-f195def8e098,inventory_panel_element.prefab/elements/groundcombat#label/tu_penalty/weight.0,TU Penalty,Penalità TU
8d339a59-de7a-479b-b426-3cf76af934ef,inventory_panel_element.prefab/elements/groundcombat#label/weight/tu_penalty.1,TU,TU
8ec4e71f-1187-4440-aaa1-4c023e657668,inventory_panel_element.prefab/elements/groundcombat#label/move_cost/capacity.1,TU,TU
e981d9f6-3aae-43b2-ad0a-260bc5b2754c,inventory_panel_element.prefab/elements/groundcombat#label/capacity/move_cost.1,TOTAL ITEM MOVE COST,COSTO TOTALE DI SPOSTAMENTO DELL'ARTICOLO
b2424ea9-b262-4ab1-b834-974ae718ae7a,inventory_panel_element.prefab/elements/groundcombat#label/title/ground_loadout.0,Ground,Terra
581668fb-0e93-4470-8c2b-8c1ee19831c5,mission_debrief_element.prefab/elements/groundcombat#label/text_background/textbar.1,MISSION COMPLETE,MISSIONE COMPLETATA
3a65f966-afca-4fe1-803e-dfbc38c8bc3c,xenopedia_browser_element.prefab/elements/groundcombat#text/title/menu.2,XENOPEDIA,XENOPEDIA
c1a2ba2f-91d2-48ee-bde6-ce55266779ab,xenopedia_browser_element.prefab/elements/groundcombat#label/background/button_close.1,Close,Chiudi
e2495063-888a-47c3-99f4-59706c3891b4,deployment_fragment.prefab/fragments/groundcombat#title/content/deployment_fragment.0,DEPLOYMENT PHASE,FASE DI IMPLEMENTAZIONE
7c18eddc-f35d-48c5-87d6-d0d2485d5c24,deployment_fragment.prefab/fragments/groundcombat#text/content/deployment_fragment.1,You may freely arrange your soldiers in the deployment area.,Puoi organizzare liberamente i tuoi soldati nell'area di schieramento.
ab15b94d-f59e-49e2-be1b-b72bfdbf407a,deployment_fragment.prefab/fragments/groundcombat#label/background/button_begin_mission.1,Commence Mission,Inizia missione
83b2835c-4b5c-4228-89b9-a04a93d6003d,shot_info_fragment.prefab/fragments/groundcombat#label/title_row/shot_info.1,Hit Chance,Probabilità di successo
3afbe578-e233-4cff-98b4-cecd2affac4f,shot_info_fragment.prefab/fragments/groundcombat#label/soldier_accuracy/shot_info.1,Soldier Accuracy,Precisione del soldato
e7b22386-341d-4d22-83b4-a873592223f5,shot_info_fragment.prefab/fragments/groundcombat#label/weapon_accuracy/shot_info.1,Weapon Accuracy,Precisione dell'arma
904c576e-2716-4ef3-8fd1-af54915fe667,shot_info_fragment.prefab/fragments/groundcombat#label/shot_accuracy/shot_info.1,Shot Accuracy,Precisione dello scatto
8e2bfbc9-104c-48bd-aa96-4f28b66ae6fb,shot_info_fragment.prefab/fragments/groundcombat#label/ammo_accuracy/shot_info.1,Ammo Modifier,Modificatore di munizioni
94f1aefa-b92e-4f4e-b12c-2a2b5ec17c6d,shot_info_fragment.prefab/fragments/groundcombat#label/defence_bonus/shot_info.1,Target Defence,Difesa bersaglio
d2076471-2c52-475d-9553-43128d8c6957,shot_info_fragment.prefab/fragments/groundcombat#label/range_bonus/shot_info.1,Range Modifier,Modificatore di intervallo
343aab85-a4f7-4e87-82a6-791ba69d39ed,shot_info_fragment.prefab/fragments/groundcombat#label/intervening_unit/shot_info.1,Intervening Unit,Unità Interveniente
221c4257-3ffa-4709-8f9b-de415487b1a7,shot_info_fragment.prefab/fragments/groundcombat#label/intervening_smoke/shot_info.1,Intervening Smoke,Fumo Interveniente
e6009a13-f4f8-49c1-aa77-a7e9d3865fc3,shot_info_fragment.prefab/fragments/groundcombat#label/crouch_modifier/shot_info.1,Target Crouched,Target accovacciato
2804e21c-359d-462b-adc9-d9b1fe6d2017,shot_info_fragment.prefab/fragments/groundcombat#label/recoil_modifier/shot_info.1,Cumulative Recoil,Rinculo cumulativo
43c1e679-fac5-4a24-a2c7-faf4c16203f3,turn_control_fragment.prefab/fragments/groundcombat#text/left/button_done.0,NEXT SOLDIER,SOLDATO SUCCESSIVO
a780ac56-40c3-4c18-ae9c-9281511d1aa6,turn_control_fragment.prefab/fragments/groundcombat#text/left/button_endturn.0,END TURN,TERMINA TURNO
ee3858aa-c9e0-45ea-908a-2d4a0c7da7a2,first_time_welcome_element.prefab/elements/mainmenu#title/background/title_bar.0,Alpha Build,Costruzione alfa
